2023/05/30 17:39:43.979032 initBuckets map[0:[0 14474011154664524427946373126085988481658748083205070504932198000989141204992] 1:[14474011154664524427946373126085988481658748083205070504932198000989141204992 28948022309329048855892746252171976963317496166410141009864396001978282409984] 2:[28948022309329048855892746252171976963317496166410141009864396001978282409984 43422033463993573283839119378257965444976244249615211514796594002967423614976] 3:[43422033463993573283839119378257965444976244249615211514796594002967423614976 57896044618658097711785492504343953926634992332820282019728792003956564819968] 4:[57896044618658097711785492504343953926634992332820282019728792003956564819968 72370055773322622139731865630429942408293740416025352524660990004945706024960] 5:[72370055773322622139731865630429942408293740416025352524660990004945706024960 86844066927987146567678238756515930889952488499230423029593188005934847229952] 6:[86844066927987146567678238756515930889952488499230423029593188005934847229952 101318078082651670995624611882601919371611236582435493534525386006923988434944] 7:[101318078082651670995624611882601919371611236582435493534525386006923988434944 115792089237316195423570985008687907853269984665640564039457584007913129639936]]
2023/05/30 17:39:43.979174 New Buckets 0:  Leader: 0, [0,14474011154664524427946373126085988481658748083205070504932198000989141204992)
2023/05/30 17:39:43.979235 New Buckets 1:  Leader: 0, [14474011154664524427946373126085988481658748083205070504932198000989141204992,28948022309329048855892746252171976963317496166410141009864396001978282409984)
2023/05/30 17:39:43.979315 New Buckets 2:  Leader: 1, [28948022309329048855892746252171976963317496166410141009864396001978282409984,43422033463993573283839119378257965444976244249615211514796594002967423614976)
2023/05/30 17:39:43.979363 New Buckets 3:  Leader: 1, [43422033463993573283839119378257965444976244249615211514796594002967423614976,57896044618658097711785492504343953926634992332820282019728792003956564819968)
2023/05/30 17:39:43.979419 New Buckets 4:  Leader: 2, [57896044618658097711785492504343953926634992332820282019728792003956564819968,72370055773322622139731865630429942408293740416025352524660990004945706024960)
2023/05/30 17:39:43.979474 New Buckets 5:  Leader: 2, [72370055773322622139731865630429942408293740416025352524660990004945706024960,86844066927987146567678238756515930889952488499230423029593188005934847229952)
2023/05/30 17:39:43.979516 New Buckets 6:  Leader: 3, [86844066927987146567678238756515930889952488499230423029593188005934847229952,101318078082651670995624611882601919371611236582435493534525386006923988434944)
2023/05/30 17:39:43.979553 New Buckets 7:  Leader: 3, [101318078082651670995624611882601919371611236582435493534525386006923988434944,115792089237316195423570985008687907853269984665640564039457584007913129639936)
2023/05/30 17:39:43.980393 main Preparing requests...
2023/05/30 17:39:43.990564 makeRequest CREATING 57
2023/05/30 17:39:43.990696 makeRequest CREATING 58
2023/05/30 17:39:43.990807 makeRequest CREATING 59
2023/05/30 17:39:43.990920 makeRequest CREATING 60
2023/05/30 17:39:43.991039 makeRequest CREATING 61
2023/05/30 17:39:43.991144 makeRequest CREATING 62
2023/05/30 17:39:43.991266 makeRequest CREATING 63
2023/05/30 17:39:43.991381 makeRequest CREATING 64
2023/05/30 17:39:43.991501 makeRequest CREATING 65
2023/05/30 17:39:43.991615 makeRequest CREATING 66
2023/05/30 17:39:43.991720 makeRequest CREATING 67
2023/05/30 17:39:43.991834 makeRequest CREATING 68
2023/05/30 17:39:43.991962 makeRequest CREATING 69
2023/05/30 17:39:43.992070 makeRequest CREATING 70
2023/05/30 17:39:43.992181 makeRequest CREATING 71
2023/05/30 17:39:43.992284 makeRequest CREATING 72
2023/05/30 17:39:43.992478 makeRequest CREATING 73
2023/05/30 17:39:43.992627 makeRequest CREATING 74
2023/05/30 17:39:43.992770 makeRequest CREATING 75
2023/05/30 17:39:43.992915 makeRequest CREATING 76
2023/05/30 17:39:43.993666 makeRequest CREATING 77
2023/05/30 17:39:43.993839 makeRequest CREATING 78
2023/05/30 17:39:43.993992 makeRequest CREATING 79
2023/05/30 17:39:43.994127 makeRequest CREATING 80
2023/05/30 17:39:43.994280 makeRequest CREATING 81
2023/05/30 17:39:43.994454 makeRequest CREATING 82
2023/05/30 17:39:43.994606 makeRequest CREATING 83
2023/05/30 17:39:43.995136 makeRequest CREATING 84
2023/05/30 17:39:43.995317 makeRequest CREATING 85
2023/05/30 17:39:43.995458 makeRequest CREATING 86
2023/05/30 17:39:43.995602 makeRequest CREATING 87
2023/05/30 17:39:43.995746 makeRequest CREATING 88
2023/05/30 17:39:43.995903 makeRequest CREATING 89
2023/05/30 17:39:43.996047 makeRequest CREATING 90
2023/05/30 17:39:43.996178 makeRequest CREATING 91
2023/05/30 17:39:43.996312 makeRequest CREATING 92
2023/05/30 17:39:43.996463 makeRequest CREATING 93
2023/05/30 17:39:43.996635 makeRequest CREATING 94
2023/05/30 17:39:43.996774 makeRequest CREATING 95
2023/05/30 17:39:43.996911 makeRequest CREATING 96
2023/05/30 17:39:43.997051 makeRequest CREATING 97
2023/05/30 17:39:43.997228 makeRequest CREATING 98
2023/05/30 17:39:43.997380 makeRequest CREATING 99
2023/05/30 17:39:43.997431 main Stable checkpoint 1...
2023/05/30 17:39:43.997495 main 0  44.204.242.59:8003
2023/05/30 17:39:43.997532 AddOSN Start grpc.dial ...
2023/05/30 17:39:44.102044 AddOSN finish grpc.dial ...
2023/05/30 17:39:44.102185 AddOSN finish NewConsensusClient ...
2023/05/30 17:39:44.102230 main Stable checkpoint 2...
2023/05/30 17:39:44.102312 main 1  44.213.105.71:8003
2023/05/30 17:39:44.102356 AddOSN Start grpc.dial ...
